,name,formatted_address,lat,lon,rating,popularity,District
0,Stott Pilates,"2071 McCowan Rd, Scarborough ON M1S 3Y6",43.795931,-79.261192,null,null,Agincourt North 
1,Tarana Dance Company Ltd,"589 Middlefield Rd, Scarborough ON M1V 4Y6",43.812037,-79.258416,null,null,Milliken 
2,D'ornellas Fitness Factory,"4544 Sheppard Ave E, Scarborough ON M1S 1V2",43.788859,-79.263412,null,null,Agincourt South-Malvern West 
3,Ravi Yoga Center,"130 Shorting Rd, Scarborough ON M1S 3S6",43.793191,-79.251525,null,null,Agincourt South-Malvern West 
4,Canadian Chinese Cultural Centre of Scarborough,"4500 Sheppard Ave E, Toronto ON M1S 3R6",43.788458,-79.265084,null,null,Agincourt South-Malvern West 
5,Simgamezone,"3320 Midland Ave, Toronto ON M1V 5E6",43.807415,-79.289259,null,null,Milliken 
6,Dreams Pole Fitness,"4810 Sheppard Ave E, Scarborough ON M1S 4N6",43.791622,-79.25067,null,null,Agincourt South-Malvern West 
7,Elite Studio & Spa,"70 Silver Star Blvd, Toronto ON M1V 4W2",43.806453,-79.290139,null,null,Milliken 
8,Studio 9,"4385 Sheppard Ave E, Scarborough ON M1S 1T9",43.786969,-79.270196,null,null,Agincourt South-Malvern West 
9,Strength-N-U,"80 Milner Ave (at McCowan Rd.), Toronto ON M1S 3P8",43.785739,-79.255938,8.0,0.8498330018388561,Agincourt South-Malvern West 
10,GoodLife Fitness Scarborough Town Centre Women's Only,"1755 Brimley Rd (at Progress Ave.), Scarborough ON M1P 0A3",43.778141,-79.263185,7.4,0.9973355349570308,Bendale-Glen Andrew 
11,World GYM,"1455 McCowan Rd, Toronto ON M1S 5K7",43.78517,-79.256036,7.1,0.9787718442351234,Agincourt South-Malvern West 
12,Mitra Hot Yoga,"705 Progress Ave, Scarborough ON M1H 2X1",43.776774,-79.246894,6.3,0.917163908382432,Woburn North 
13,TELUS Wellness Centre,"200 Consilium Pl, Scarborough ON",43.777098,-79.251022,null,0.12669969102212883,Woburn North 
14,Lee Centre Gymnasium,"11 Lee Ave, Toronto ON",43.780587,-79.245428,null,0.14640797588221313,Woburn North 
15,EQ1 - Gym,"70 Town Centre Crt, Scarborough ON M1P 0B2",43.774195,-79.25515,null,0.7828273351596803,Bendale-Glen Andrew 
16,Solaris gym,"135 Village Green Sq (Kennedy Rd. & 401), Scarborough ON M1S 0G4",43.777488,-79.280695,null,0.5963398006029447,Agincourt South-Malvern West 
17,Centro Condo Gym,"25 Town Centre Crt, Scarborough ON M1P 0B4",43.773269,-79.255064,null,0.6525062233397131,Bendale-Glen Andrew 
18,Kanama High Performance,"39 Cosentino Dr (Kennedy Rd. & Progress Ave.), Toronto ON M1P 3A3",43.772649,-79.269261,null,0.8548992381881638,Bendale-Glen Andrew 
19,CrossFit 4 Time,"285 Progress Ave (at Midland Ave.), Scarborough ON M1P 2Z3",43.773072,-79.271203,null,0.47829023905130036,Bendale-Glen Andrew 
20,Crossfit Canuck,"710 Progress Ave, Scarborough ON M1H 2X3",43.778036,-79.246529,null,0.9458287987390701,Woburn North 
21,Simply Swagg Dance Studio,"705 Progress Ave, Scarborough ON M1H 2X1",43.778258,-79.246564,null,0.9068625611388399,Woburn North 
22,May Tower Corportation,"1 Lee Centre Dr, Scarborough ON M1H 3J2",43.780717,-79.246761,null,null,Woburn North 
