,park_size,percent_park,gym_number,area_per_gym,avg_tax,customer_percentage,high_inc_percent,population,Area
Agincourt North,54.226447839934146,6.673952301992518,1.0,812.5087712081005,4795.0,35.30782029950083,8.87029288702929,29113.0,812.5087712081005
Agincourt South-Malvern West,53.62492090363989,6.0893705902337745,8.0,110.0789484500343,5102.0,40.02055498458376,10.432033719704952,23757.0,880.6315876002744
Alderwood,70.73327598087015,12.739048594210736,4.0,138.8119282569793,7895.0,36.80808080808081,19.131529263687856,12054.0,555.2477130279171
Annex,23.42622533468509,7.519823426979444,34.0,9.16253731462279,30496.0,48.22672577580747,31.513141107425362,30526.0,311.5262686971749
Avondale,15.169528186679043,13.150521886210493,6.0,19.22550846009346,,,,,115.35305076056078
Banbury-Don Mills,222.5947791036869,19.83513588937567,15.0,74.81497491627664,14370.0,31.16152140542384,27.002621613748907,27695.0,1122.2246237441495
Bathurst Manor,375.6463537691492,70.56936221101692,4.0,133.07699758072394,8645.0,37.1987951807229,16.996448503297817,15873.0,532.3079903228958
Bay-Cloverhill,12.542906110925353,16.2708758846845,18.0,4.282671210893713,,,,,77.08808179608683
Bayview Village,232.32302029580316,40.26517270613079,5.0,115.39651002685483,11062.0,45.73766765173903,22.97670746150809,21396.0,576.9825501342741
Bayview Woods-Steeles,47.70132448530409,10.427601511029767,3.0,152.48416885016863,10191.0,30.597552195824335,20.8955223880597,13154.0,457.45250655050586
Bedford Park-Nortown,14.838071365104854,2.406010367307338,8.0,77.08856727470553,32139.0,33.67517789870239,38.70967741935484,23236.0,616.7085381976442
Beechborough-Greenbrook,40.31524571906898,19.6858498800801,1.0,204.79301612405138,5418.0,38.839285714285715,8.34371108343711,6577.0,204.79301612405138
Bendale South,25.291615148992385,8.895483638659726,,,,,,,284.3197309595979
Bendale-Glen Andrew,149.8104977208006,27.27008390234146,11.0,49.941673099388794,,,,,549.3584040932767
Birchcliffe-Cliffside,141.72911931723837,21.119099334141655,12.0,55.924543732836334,10755.0,33.682373472949386,21.727941176470587,22291.0,671.094524794036
